sku,ean,descricao,criado_em,atualizado_em
651-GN,7908713210101,BEBEDOURO COMEDOURO AUTOMÁTICO CAES E GATOS - CÓD.: 651-GN - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL0001-X,7908713212082,MALA DE VIAGEM - CÓD: AL0001-X - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL0002-X,7908713212099,ORGANIZADOR EM FORMATO DE CONTAINER - CÓD: AL0002-X - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL111,7908713205480,REFLETOR HOLOFOTE LED PORTATIL RESISTENTE A AGUA - CÓD: AL111 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL120,7908713206586,LUPA DE MESA COM GARRAS - CÓD: AL120 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL122,7908713205497,LUPA DE CABEÇA 5 LENTES BRANCA - CÓD: AL122 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL123,7908713205503,LUPA DE CABEÇA 4 LENTES - CÓD: AL123 - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL1512126-B,7908713203486,MINI COFRE ELETRÔNICO NOTAS - COR:PRETO - CÓD: AL1512126-B,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL1512126-BL,7908713209181,MINI COFRE ELETRÔNICO NOTAS - COR:AZUL - CÓD: AL1512126-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL1512126-PK,7908713203493,MINI COFRE ELETRÔNICO NOTAS COR: ROSA - CÓD: AL1512126-PK,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
