sku_al,sku_tonina,descricao_padrao,unidade,ncm_al,ncm_tonina,marca,criado_em,atualizado_em
AL274,274,BALANÇA DIGITAL VIDRO REDONDA - CÓD: AL274 - MARCA: LORBEN,PC,8423.10.00,84231000,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL297-30,297-30,SACO DE EMBALAGEM - 30CM x 30CM - CÓD: AL297-30 - MARCA: LORBEN,PC,3923.29.10,39232910,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL297-50,297-50,SACO DE EMBALAGEM - 50CM x 50CM - CÓD: AL297-50 - MARCA: LORBEN,PC,3923.29.10,39232910,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL297-60,297-60,SACO DE EMBALAGEM - 60CM x 60CM - CÓD: AL297-60 - MARCA: LORBEN,PC,3923.29.10,39232910,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL5010,5010,RASPADOR PARA ACABAMENTOS DE CANTOS. ACOMPANHADO DE 5 TAMANHOS - AL5010 - MARCA: LORBEN - CÓD: AL5010 - MARCA: LORBEN,PC,8205.59.00,82055900,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL6450,6450,LUMINÁRIA LÂMPADA DE TOUCH - CÓD: AL6450 - MARCA: LORBEN,PC,9405.21.00,94052100,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL651-GN,651-GN,BEBEDOURO COMEDOURO AUTOMÁTICO CAES E GATOS - CÓD: AL651-GN - MARCA: LORBEN,PC,3924.90.00,39269090,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL6742,6742,BANQUINHO 1 DEGRAU STEP PARA BANHEIRO PIA E VAZO INFANTIL - CÓD: AL6742 - MARCA: LORBEN,PC,3926.90.90,39269090,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL6743,6743,BANQUINHO INFANTIL P/ HIGIENE DESFRALDE C/ 2 DEGRAUS - CÓD: AL6743 - MARCA: LORBEN,PC,3926.90.90,39269090,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL6752,6752,MINI VENTILADOR AUTOMOTIVO 24V DUPLO CAMINHÃO ÔNIBUS CARRO - CÓD: AL6752 - MARCA: LORBEN,PC,8414.59.90,,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL6773,6773,ILHÓS DE METAL PÉ ALTO COM BORDA LARGA - COR: PRATA - CÓD: AL6773 - MARCA: LORBEN,PC,8308.90.90,83089090,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL848,848,ALICATE HIDRAULICO PRENSA CRIMPA TERMINAL - CÓD: AL848 - MARCA: LORBEN,PC,8203.20.10,82032010,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL891,891,KIT 5X ELASTICOS PARA EXERCICIO FISICO - CÓD: AL891 - MARCA: LORBEN,KIT,9506.91.00,95069100,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL947,947,BALANÇA COZINHA 10KG - CÓD: AL947 - MARCA: LORBEN,PC,8423.10.00,84231000,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
AL957-2,957-2,FONTE PHANTOM POWER 220V - CÓD: AL957-2 - MARCA: LORBEN,PC,8507.60.00,85076000,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
IF005,IF005,EMPILHADEIRA MANUAL TESOURA HIDRAULICA - CÓD: IF005 - MARCA: LORBEN,PC,8427.90.00,,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
IF007,IF007,EMPILHADEIRA MANUAL TESOURA A BATERIA - CÓD: IF007 - MARCA: LORBEN,PC,8427.10.90,,LORBEN,2026-06-17T10:25:46.327112,2026-06-17T12:23:01.930439
